Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
SHA-256,PoW/PoS,74676064.9488608,105000000
DPoS,DPoS,120012140.0,159918400
Scrypt,PoS,10000244677.7002,10008835635
Scrypt,PoW/PoS,252005564.19257003,300000000
NeoScrypt,PoW/PoS,1120385.00502,60168145
SHA3-256,DPoC,-5917977547.96773,5000000000
Multiple,PoW,3332922.5,2800000
X13,PoW/PoS,140777.753365,120000
Equihash+Scrypt,PoW,100000000.0,2100000000
DPoS,DPoS,1020544523.0722,0
Ethash,PoW,24487944.095820397,24487944
DPoS,DPoS,1122382283.37,0
SHA-256,PoS,1000000000.0,1000000000
Leased POS,LPoS,100000000.0,100000000
PoS,PoS,9283137.5558676,8634140
TRC10,DPoS,989988713439.649,990000000000
PoS,PoS/LPoS,1000000000.0,1000000000
SHA-256,DPoS,1999999995.3056,2000000000
Scrypt,PoW/PoS,14931046.1546605,250000000
CryptoNight,PoW,980222595.0,1400222610
Equihash,PoW,7296537.5,21000000
Scrypt,PoS,128326.99633965,1000000
